Number,Date,Sub-Channels,Comments,Sentiment,Sentan
0,20/02/2024,Police Clearance Certificate,Nice,Happy,4
1,20/02/2024,Police Clearance Certificate,Quick and Easy,Happy,5
2,20/02/2024,Police Clearance Certificate,All is good,Happy,5
3,20/02/2024,Police Clearance Certificate,Great,Happy,5
4,20/02/2024,Police Clearance Certificate,Always The Best,Happy,5
5,20/02/2024,Police Clearance Certificate,Easy,Happy,5
6,19/02/2024,Certificate of Loss,Great Experience,Happy,5
7,19/02/2024,Police Clearance Certificate,Thank you so much,Happy,5
8,19/02/2024,Police Clearance Certificate,Good,Happy,4
9,19/02/2024,Police Clearance Certificate,Easy and Fast,Happy,5
10,19/02/2024,Traffic clearance certificate,Thanks,Happy,5
11,19/02/2024,Police Clearance Certificate,Excellent and Easy,Happy,5
12,19/02/2024,Police Clearance Certificate,Thank you,Happy,5
13,19/02/2024,traffic status certificate,Vry Help Full,Happy,5
14,19/02/2024,Police Clearance Certificate,User Friendly,Happy,5
15,19/02/2024,Police Clearance Certificate,Thanks,Happy,5
16,19/02/2024,Traffic Accident Report-  without Injuries,Excellent,Happy,5
17,19/02/2024,Police Clearance Certificate,Easy to Accessible,Happy,5
18,19/02/2024,Police Clearance Certificate,Convenient online procese,Happy,4
19,19/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
20,19/02/2024,Police Clearance Certificate,Hi,Happy,5
21,19/02/2024,Certificate of Loss,Great Dubai,Happy,5
22,19/02/2024,Police Clearance Certificate,Vry Fast and Efficience,Happy,5
23,19/02/2024,Police Clearance Certificate,Fast and Efficience,Happy,5
24,19/02/2024,Police Clearance Certificate,OH Shanks to God Card Was Accepted.,Neutral,5
25,19/02/2024,Police Clearance Certificate,Good,Happy,4
26,19/02/2024,Certificate of Loss,I am very happy with this service,Happy,5
27,19/02/2024,Police Clearance Certificate,No comments,Happy,1
28,19/02/2024,"Submit complaints ( labor, economic crime, electronic crime)",The playform is nice. I hop it will help me Resolve my Isu,Happy,4
29,19/02/2024,Police Clearance Certificate,I hop to recough my police CLEANCE AS SOON AS POSSIIBLE,Happy,5
30,19/02/2024,Certificate of Loss,Helpful,Happy,5
31,19/02/2024,Police Clearance Certificate,Good Service,Happy,4
32,19/02/2024,Traffic Accident Report-  without Injuries,Easy Steps and Simple. Thank you very much.,Happy,5
33,19/02/2024,night work permit,Happy,Happy,5
34,19/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
35,19/02/2024,Certificate of To Whom It May Concern,Everything is easy and fast.,Happy,5
36,19/02/2024,Police Clearance Certificate,Helpful and Easy,Happy,5
37,19/02/2024,Traffic Accident Report-  without Injuries,No Remarks,Happy,1
38,19/02/2024,Certificate of Loss,Good,Happy,4
39,19/02/2024,Police Clearance Certificate,.,Neutral,3
40,19/02/2024,Police Clearance Certificate,Thank you,Happy,5
41,19/02/2024,night work permit,Good,Happy,4
42,19/02/2024,Police Clearance Certificate,Good,Happy,4
43,19/02/2024,Police Clearance Certificate,Vry Good App,Happy,4
44,19/02/2024,Certificate of Loss,Good,Happy,4
45,19/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
46,19/02/2024,Police Clearance Certificate,A,Neutral,4
47,19/02/2024,Certificate of To Whom It May Concern,Thank U,Happy,5
48,19/02/2024,Police Clearance Certificate,Easy to use,Happy,5
49,19/02/2024,Certificate of Loss,Good,Happy,4
50,19/02/2024,Certificate of Loss,All the best for you,Happy,5
