Logo,Format,Color,Type,Link
901,png,Black,Emblem,https://drive.google.com/file/d/13XCBIxQUQrZkIcHV8wDsRUphZTOpd2oP/view?usp=drive_link
901,png,Black,Right align,https://drive.google.com/file/d/1_--In-fyrLNrMAgH5x3eQ_ULikkatChf/view?usp=drive_link
901,png,Black,Left align,https://drive.google.com/file/d/1fedXVtaXCju7nJSWDBnvoz8qzG1rUQ4g/view?usp=drive_link
901,png,White,Emblem,https://drive.google.com/file/d/1XsqduY9IdTQLSqGwdSu44loLcKj4Q_br/view?usp=drive_link
901,png,White,Right align,https://drive.google.com/file/d/1xqrcyMe_a26cg4O3uv9gj1vN-yjTA84Y/view?usp=drive_link
901,png,White,Left align,https://drive.google.com/file/d/1ajDEvdG5gt2li7nqTejP1QkJtU4O7EOD/view?usp=drive_link
901,png,Colored,Emblem,https://drive.google.com/file/d/1G4mtGOfEzcSdpFFieUfFnz1QWHAL3AeW/view?usp=drive_link
901,png,Colored,Right align,https://drive.google.com/file/d/11ScaMcj3-mUwh81vYRwoQCkcMlllBuIp/view?usp=drive_link
901,png,Colored,Left align,https://drive.google.com/file/d/1VsatcgNYq48pl6Pwim44KKvsHT7iLVi5/view?usp=drive_link
901,pdf,Black,Emblem,https://drive.google.com/file/d/1P3e5tz2td_1lytaaO6QT6U9_TzKrs2AG/view?usp=drive_link
901,pdf,Black,Right align,https://drive.google.com/file/d/1QuqUy-RZq3ZYnFS1YiwRsTNhRolCycxA/view?usp=drive_link
901,pdf,Black,Left align,https://drive.google.com/file/d/1KnkfP2r3jBOFgsTkdCN7qAadfJYfCulE/view?usp=drive_link
901,pdf,White,Emblem,https://drive.google.com/file/d/1WByztKhspiIw1buZ6KGI1u8SK0sxMn5w/view?usp=drive_link
901,pdf,White,Right align,https://drive.google.com/file/d/136901wl2cHeZFYyKgaqVG2oOwna7v7VP/view?usp=drive_link
901,pdf,White,Left align,https://drive.google.com/file/d/17kidl1nLGbu8Xc6YBwq13NmrzIgAGnyZ/view?usp=drive_link
901,pdf,Colored,Emblem,https://drive.google.com/file/d/1e4KBqdFn81ZXZBbTMkQMTUV4spnDmJ5o/view?usp=drive_link
901,pdf,Colored,Right align,https://drive.google.com/file/d/123WEGZYdcaCGOatuf4_MSlv2cEkx3CQ8/view?usp=drive_link
901,pdf,Colored,Left align,https://drive.google.com/file/d/15VPXXHCVHoOtIuZDmMvgGw24_3wlEMYc/view?usp=drive_link
901,svg,Black,Emblem,https://drive.google.com/file/d/1XCTWE331nlsj4mmiegOqe433ZRZclkFQ/view?usp=drive_link
901,svg,Black,Right align,https://drive.google.com/file/d/1DCioDs_6P_vciB9iC5hduWmTjLS2XTD_/view?usp=drive_link
901,svg,Black,Left align,https://drive.google.com/file/d/1V3H1uBKN5f3wEdZQmpMSbO6sriWlce7e/view?usp=drive_link
901,svg,White,Emblem,https://drive.google.com/file/d/1Mx_xEOuiOUs7NH-cZugaNA0Pl06O2HYH/view?usp=drive_link
901,svg,White,Right align,https://drive.google.com/file/d/1U_7i5qAfz5hADgXKCVibnAwylKLqbAVB/view?usp=drive_link
901,svg,White,Left align,https://drive.google.com/file/d/1dnxdlSl5011P2Ff-1jUJCwUoMxpOG7VN/view?usp=drive_link
901,svg,Colored,Emblem,https://drive.google.com/file/d/1jzau5KEvDVXqobdVc6Qa3hAvrVLOGXQW/view?usp=drive_link
901,svg,Colored,Right align,https://drive.google.com/file/d/1VO3bHi0kZTTZycZ8PxBtxgIUELesI4CO/view?usp=drive_link
901,svg,Colored,Left align,https://drive.google.com/file/d/1RZp_a3dkuHrfu__lIS5-d_t7wHwm5_Fz/view?usp=drive_link
Artificial Intelligence,png,Black,Emblem,https://drive.google.com/file/d/19mmGRQxJ_BYL6gJlvrGuEwMRIorE01Wv/view?usp=drive_link
Artificial Intelligence,png,Black,Left align,https://drive.google.com/file/d/1PDk-lhIu7vqVurJwDd_plcf-TEfoqQl9/view?usp=drive_link
Artificial Intelligence,png,Black,Right align,https://drive.google.com/file/d/1NCnIhcCI50SeYuD-S2SkxTLkXfdHhThh/view?usp=drive_link
Artificial Intelligence,png,Black,Vertical,https://drive.google.com/file/d/1Y84J04Mg1HT9Mkoqezxy1Pk5LrSh347D/view?usp=drive_link
Artificial Intelligence,png,White,Emblem,https://drive.google.com/file/d/1pr7c5dMq8Ped2OsWzPfQ1SU_49CCF7hj/view?usp=drive_link
Artificial Intelligence,png,White,Left align,https://drive.google.com/file/d/1s310j4BUKm_5SHKmgfz34ZlgSt4LAAfK/view?usp=drive_link
Artificial Intelligence,png,White,Right align,https://drive.google.com/file/d/1mdjDgLlFb_oFCzQ0r9WNCUKXHglha-CR/view?usp=drive_link
Artificial Intelligence,png,White,Vertical,https://drive.google.com/file/d/1B_Z0tKcOEMSAvl5xRL0CcUZxBT89grLT/view?usp=drive_link
Artificial Intelligence,png,Colored,Emblem,https://drive.google.com/file/d/1sLifDujDh3XZmKfRpyj1Ly5fi4j1sGof/view?usp=drive_link
Artificial Intelligence,png,Colored,Left align,https://drive.google.com/file/d/1heEQIbmJ8BiWcma-llPQQQvwjrto0uwI/view?usp=drive_link
Artificial Intelligence,png,Colored,Right align,https://drive.google.com/file/d/1r16Vikk6YDkh-Bo2H_0Fz15w8zi0_695/view?usp=drive_link
Artificial Intelligence,png,Colored,Vertical,https://drive.google.com/file/d/1wGgom5Y4lfBX5k9Gbj32LC2lfL7aUC5f/view?usp=drive_link
Artificial Intelligence,pdf,Black,Emblem,https://drive.google.com/file/d/1qUYyJFLrkOEonlOWqQF-GTCZ6oNeRgm1/view?usp=drive_link
Artificial Intelligence,pdf,Black,Right align,https://drive.google.com/file/d/1LLAD9HyJUvCATRqazWmskyco6xzzmQAJ/view?usp=drive_link
Artificial Intelligence,pdf,Black,Left align,https://drive.google.com/file/d/1Z83GjzBrhfr9mSrNwHZdvc8UDJNIvfd-/view?usp=drive_link
Artificial Intelligence,pdf,Black,Vertical,https://drive.google.com/file/d/1Fq_Kbi33Fkv52oGj6G9YlK0yxd-YoZrt/view?usp=drive_link
Artificial Intelligence,pdf,White,Emblem,https://drive.google.com/file/d/1HsM9yngdQxQamFB7qrWTS4SfJkzVJEfO/view?usp=drive_link
Artificial Intelligence,pdf,White,Right align,https://drive.google.com/file/d/17aNtm54TG8dmMJzkTgpm1WwKefRS67fp/view?usp=drive_link
